term	support	DBOW	DMm	CNN
Adult	650107	0.513	0.504	0.784
Middle Aged	575125	0.559	0.544	0.809
Aged	403756	0.467	0.466	0.738
Adolescent	256854	0.316	0.326	0.611
Child	183420	0.350	0.390	0.730
Aged, 80 And Over	131569	0.223	0.235	0.472
Child, Preschool	109873	0.268	0.299	0.650
Young Adult	101411	0.142	0.156	0.327
Infant	84343	0.246	0.277	0.608
Infant, Newborn	64556	0.370	0.381	0.665
