term	support	DBOW	DMm	CNN
Polymers	11945	0.167	0.138	0.419
Biocompatible Materials	8904	0.192	0.157	0.355
Nanoparticles	8004	0.219	0.239	0.572
Polyethylene Glycols	7938	0.131	0.133	0.586
Dietary Supplements	6950	0.171	0.204	0.417
Liposomes	6769	0.227	0.300	0.728
Quality Control	6511	0.051	0.057	0.205
Milk	6441	0.239	0.274	0.680
Dietary Fats	6309	0.169	0.159	0.447
Animal Feed	6005	0.342	0.297	0.498
